19:48, Opponent, 3PT, FALSE
19:46, The Mime, DReb, TRUE
19:37, Heisman, 3PT, FALSE
19:20, The Mime, STL, TRUE
19:15, The Mime, FG, FALSE
19:06, Mamba, FOUL, TRUE
18:44, Opponent, FT, TRUE
18:30, Opponent, FT, TRUE
18:15, The Mime, FG, TRUE
18:04, Opponent, FG, TRUE
17:51, Toki, 3PT, FALSE
17:41, Opponent, FG, TRUE
17:15, Toki, 3PT, FALSE
17:04, Grandpa, STL, TRUE
16:59, Grandpa, FG, FALSE
16:51, Opponent, FG, TRUE
16:36, Toki, FG, FALSE
16:26, The Mime, STL, TRUE
16:08, Mamba, FG, FALSE
15:46, Grandpa, FG, FALSE
15:47, Toki, OReb, TRUE
15:24, Heisman, FT, TRUE
15:12, Heisman, FT, FALSE
14:42, Opponent, FG, TRUE
14:34, Grandpa, AST,The Mime
14:34, The Mime, FG, TRUE
14:18, Toki, FOUL, TRUE
13:54, Opponent, FT, FALSE
13:42, Opponent, FT, FALSE
13:37, Opponent, FG, FALSE
13:36, The Mime, DReb, TRUE
13:24, Mamba, TO, TRUE
13:14, Grandpa, STL, TRUE
13:09, Grandpa, FG, TRUE
12:34, Mamba, FG, FALSE
12:32, Toki, OReb, TRUE
12:31, Toki, FG, TRUE
12:11, Opponent, FG, FALSE
12:09, The Mime, DReb, TRUE
11:56, Grandpa, FG, TRUE
11:39, Opponent, FG, FALSE
11:38, The Mime, DReb, TRUE
11:30, Heisman, 3PT, FALSE
11:14, Opponent, FG, FALSE
11:13, Mamba, DReb, TRUE
//10:52 - Old Faithful, King Kang in; Toki, Grandpa out,
10:47, Old Faithful, TO, TRUE
10:38, Opponent, FG, FALSE
10:36, Mamba, DReb, TRUE
10:26, Heisman, FG, TRUE
10:05, Heisman, STL, TRUE
10:01, Heisman, TO, TRUE
9:18, Opponent, 3PT, FALSE
9:17, Mamba, DReb, TRUE
9:10, King Kang, FG, FALSE
9:00, Opponent, 3PT, TRUE
8:44, Mamba, FG, FALSE
8:25, Opponent, 3PT, FALSE
7:45, Heisman, FT, FALSE
7:30, Heisman, FT, TRUE
//7:38 - Toki in; The Mime out,,,
7:14, Toki, STL, TRUE
7:08, Heisman, TO, TRUE
//6:55 - Grandpa in; Heisman out,,,
6:39, Opponent, FG, FALSE
6:33, Opponent, FG, TRUE
6:22, Grandpa, AST,Toki
6:21, Toki, 3PT, TRUE
6:08, Opponent, FG, FALSE
5:44, Opponent, FG, TRUE
5:24, Toki, 3PT, FALSE
5:15, Opponent, FG, TRUE
5:15, Grandpa, FOUL, TRUE
4:54, Opponent, FT, TRUE
//4:50 - The Mime in; Mamba out,,,
4:33, Toki, FG, FALSE
4:28, The Mime, STL, TRUE
4:21, King Kang, FG, FALSE
4:20, Grandpa, OReb, TRUE
3:57, Grandpa, FT, FALSE
3:18, Grandpa, FT, FALSE
3:08, Opponent, TO, TRUE
2:00, Grandpa, FT, FALSE
1:48, Grandpa, FT, FALSE
1:40, Opponent, FG, FALSE
1:37, The Mime, DReb, TRUE
1:29, Toki, 3PT, FALSE
1:22, Opponent, FG, TRUE
1:15, King Kang, FG, FALSE
1:08, Toki, BLK, TRUE
//0:58 - Heisman in; King Kang out,,,
0:32, Opponent, 3PT, FALSE
0:31, Toki, DReb, TRUE
0:01, Heisman, FT, FALSE
0:00, Heisman, FT, TRUE
HALFTIME,,,
